6,10,14,10,14,10,10,14,10,14,14,10,10,14,12
1,4,5,4,1,6,12,7,8,7,9,6,8,5,5
6,9,5,7,10,15,13,5,6,9,2,11,12,3,13
7,10,13,5,2,15,9,5,7,10,14,8,7,8,5
5,4,5,7,8,5,2,13,1,4,5,2,13,2,13
5,5,5,7,12,3,10,11,12,3,11,12,7,12,5
5,5,3,9,7,10,10,12,7,10,12,5,1,5,5
5,7,10,10,9,6,8,5,5,4,5,1,4,5,5
5,3,14,10,14,15,14,9,5,5,7,10,13,5,5
7,8,7,10,11,15,13,2,13,3,13,4,3,9,5
5,6,9,6,12,7,15,12,3,12,5,3,10,14,9
5,5,2,11,13,7,11,15,12,5,3,10,8,7,12
7,11,14,8,7,9,4,1,5,5,6,10,10,13,5
5,2,9,4,5,2,11,10,9,7,9,2,10,9,5
3,10,10,11,11,10,10,10,10,11,10,10,10,10,9
